Customer,State,Customer Lifetime Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Month,Day Of Week
ZK25313,Oregon,2872.051273,No,0,High School or Below,,M,57749,1,Single,74,31,21,0,1,Personal Auto,Personal L2,Offer1,Branch,355.2,Two-Door Car,1,2,5
SV62436,Washington,3041.791561,No,1,Bachelor,,F,13789,1,Divorced,79,8,49,0,1,Personal Auto,Personal L3,Offer4,Call Center,379.2,Four-Door Car,1,1,4
TZ98966,Nevada,2450.190996,No,0,Bachelor,,F,0,1,Single,73,4,44,3,1,Corporate Auto,Corporate L3,Offer1,Branch,554.376763,Four-Door Car,1,2,3
HM55802,California,2392.10789,No,0,Bachelor,,F,17870,1,Married,61,30,91,0,1,Corporate Auto,Corporate L2,Offer2,Branch,439.2,Four-Door Car,1,2,5
FS42516,Oregon,5802.065978,No,0,College,,M,97541,1,Married,72,22,1,0,3,Personal Auto,Personal L3,Offer2,Call Center,389.185006,Four-Door Car,2,1,5
US89481,California,3946.372085,No,2,Bachelor,,F,0,1,Single,111,15,47,0,1,Personal Auto,Personal L3,Offer1,Agent,799.2,Four-Door Car,0,2,0
HO30839,Washington,5346.916576,No,1,Master,,F,10511,0,Married,139,33,64,0,1,Corporate Auto,Corporate L1,Offer1,Branch,516.237951,SUV,1,2,5
GE62437,Arizona,12902.56014,No,2,College,,F,86584,1,Single,111,33,54,2,2,Personal Auto,Personal L3,Offer1,Call Center,532.8,Four-Door Car,2,2,2
EJ77678,Oregon,3235.360468,No,1,Master,,F,75690,1,Married,80,17,44,1,1,Personal Auto,Personal L3,Offer2,Branch,384.0,Four-Door Car,0,2,0
SV85652,Arizona,2454.58354,No,0,College,,M,23158,1,Married,63,4,6,1,1,Personal Auto,Personal L2,Offer4,Call Center,322.294043,Four-Door Car,0,2,0
PF41800,California,4715.321344,No,0,Bachelor,,M,0,0,Married,65,19,56,0,3,Personal Auto,Personal L3,Offer1,Call Center,308.15089,Four-Door Car,1,1,1
AO98601,Washington,5018.885233,No,0,Bachelor,,M,54500,1,Married,63,28,17,0,6,Corporate Auto,Corporate L2,Offer1,Agent,302.4,Two-Door Car,0,1,1
SK67821,Oregon,4932.916345,No,0,Bachelor,,F,37260,2,Married,62,19,42,0,8,Corporate Auto,Corporate L1,Offer3,Web,15.437681,Four-Door Car,1,2,6
YV55495,Arizona,5744.229745,No,0,High School or Below,,F,68987,0,Married,71,11,40,0,6,Personal Auto,Personal L1,Offer1,Branch,204.475147,Four-Door Car,1,1,5
KY38074,California,13891.73567,No,2,Bachelor,,M,42305,1,Married,117,10,62,0,2,Personal Auto,Personal L3,Offer1,Agent,561.6,Four-Door Car,0,1,5
DM79012,Oregon,7380.976717,No,1,Master,,F,65706,1,Married,91,19,86,0,8,Personal Auto,Personal L3,Offer2,Web,436.8,Four-Door Car,0,2,6
CM61827,Oregon,3090.034104,No,1,Bachelor,,M,0,1,Single,90,7,79,0,1,Personal Auto,Personal L2,Offer3,Agent,648.0,Two-Door Car,0,1,1
WC35801,Arizona,2521.633095,No,0,High School or Below,,M,53243,2,Divorced,66,4,15,2,1,Personal Auto,Personal L3,Offer1,Call Center,157.397849,Four-Door Car,1,2,0
QG25316,Nevada,2652.061785,No,0,High School or Below,,F,0,1,Married,70,7,1,1,1,Corporate Auto,Corporate L3,Offer3,Call Center,484.318536,Two-Door Car,1,1,1
MB98372,Oregon,2771.045031,Yes,0,College,,F,50071,2,Single,71,3,32,0,1,Corporate Auto,Corporate L3,Offer2,Agent,18.918935,Two-Door Car,1,1,1
IL19217,California,3939.00637,Yes,1,Bachelor,,F,60021,1,Married,99,12,28,0,1,Personal Auto,Personal L2,Offer2,Agent,882.871945,Four-Door Car,0,1,4
SR38658,Arizona,12231.87968,No,0,High School or Below,,M,43244,1,Married,103,15,16,0,2,Personal Auto,Personal L2,Offer4,Agent,494.4,Sports Car,1,2,1
DH41343,Washington,2443.665166,No,0,College,,M,92834,1,Married,61,15,56,0,1,Special Auto,Special L2,Offer2,Call Center,292.8,Four-Door Car,2,2,2
BU27331,Arizona,4468.510542,No,0,Bachelor,,M,0,1,Single,73,7,57,3,5,Personal Auto,Personal L3,Offer3,Call Center,579.165954,Four-Door Car,1,1,0
XM45289,Oregon,5514.344018,No,0,High School or Below,,F,23218,1,Single,71,7,10,0,4,Personal Auto,Personal L2,Offer4,Agent,447.79344,Two-Door Car,1,1,6
KP34198,California,3343.875326,No,1,Bachelor,,F,0,1,Married,92,11,77,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,529.624084,Four-Door Car,1,2,0
SH90947,Arizona,2294.478927,No,0,High School or Below,,F,0,1,Married,62,11,56,0,1,Personal Auto,Personal L2,Offer4,Branch,313.023175,Four-Door Car,1,1,1
RB69909,Nevada,7983.431709,No,0,High School or Below,,F,36014,2,Married,69,4,40,3,2,Special Auto,Special L1,Offer4,Branch,173.956072,Four-Door Car,1,2,0
XR95069,Washington,4854.745666,No,0,Bachelor,,M,29834,1,Single,64,19,44,0,3,Personal Auto,Personal L3,Offer4,Agent,307.2,Four-Door Car,1,2,2
FR46645,California,4293.997319,No,2,Bachelor,,M,16701,1,Married,113,20,26,0,1,Personal Auto,Personal L2,Offer1,Branch,831.625979,Four-Door Car,0,1,0
SY17488,Arizona,7164.395543,No,1,College,,F,46623,1,Divorced,91,1,53,0,3,Corporate Auto,Corporate L3,Offer3,Call Center,436.8,Four-Door Car,0,2,5
AP67935,California,7619.5158,No,0,College,,M,64749,0,Married,64,24,59,0,2,Special Auto,Special L2,Offer2,Branch,302.56519,Four-Door Car,1,2,6
FS37417,Arizona,3958.002823,No,0,High School or Below,,F,0,1,Married,101,29,12,0,1,Personal Auto,Personal L2,Offer1,Call Center,484.8,SUV,0,2,2
ML29312,Oregon,4499.493252,No,1,High School or Below,,F,16969,1,Divorced,124,34,47,2,1,Personal Auto,Personal L3,Offer1,Call Center,704.768111,SUV,1,1,4
UB61619,Oregon,4059.567414,No,2,Master,,F,11621,1,Divorced,108,4,98,0,1,Personal Auto,Personal L1,Offer1,Agent,518.4,Four-Door Car,1,2,0
CD86811,Arizona,4458.113369,Yes,0,Bachelor,,M,17622,1,Divorced,65,1,36,1,3,Personal Auto,Personal L1,Offer1,Agent,312.0,Four-Door Car,1,1,6
RU83859,California,8110.333139,No,2,Bachelor,,F,11489,1,Married,105,4,50,0,6,Personal Auto,Personal L3,Offer1,Call Center,504.0,Two-Door Car,0,1,5
FG63582,Oregon,3339.764873,No,1,Bachelor,,M,0,1,Single,94,20,53,0,1,Personal Auto,Personal L3,Offer1,Agent,863.327324,Two-Door Car,0,1,5
WB37082,Arizona,6613.973653,No,0,Bachelor,,F,0,1,Single,63,21,28,0,2,Personal Auto,Personal L3,Offer3,Branch,676.391482,Four-Door Car,2,1,6
SM52139,Washington,2930.693543,No,0,College,,M,33663,1,Married,73,29,71,0,1,Personal Auto,Personal L3,Offer3,Web,350.4,Four-Door Car,1,1,0
FL82372,Oregon,8672.194272,No,0,College,,F,22547,1,Divorced,112,7,60,0,3,Corporate Auto,Corporate L3,Offer1,Agent,537.6,SUV,1,1,2
DP45816,Arizona,11638.66926,No,1,High School or Below,,F,61486,0,Married,97,5,65,0,2,Personal Auto,Personal L3,Offer4,Branch,465.258644,Two-Door Car,0,1,0
GW33762,Oregon,6846.150323,Yes,1,Bachelor,,F,0,1,Divorced,95,13,20,0,5,Personal Auto,Personal L3,Offer1,Call Center,456.0,Two-Door Car,2,1,3
RZ33670,California,11727.77648,No,2,College,,F,29879,1,Married,102,17,0,0,2,Personal Auto,Personal L3,Offer3,Web,500.254235,Four-Door Car,1,1,6
MO91628,Oregon,2614.474305,No,0,Master,,M,65186,2,Married,65,29,27,0,1,Personal Auto,Personal L2,Offer2,Web,5.434505,Two-Door Car,2,2,4
HW87852,Oregon,2451.752695,No,0,Master,,M,26840,1,Married,64,1,47,2,1,Personal Auto,Personal L1,Offer1,Agent,307.2,Four-Door Car,1,2,5
BN87372,Oregon,4974.801539,Yes,0,Bachelor,,M,75644,1,Divorced,65,5,68,3,9,Personal Auto,Personal L3,Offer2,Branch,467.803638,Two-Door Car,1,1,1
YX23800,Oregon,8591.604933,No,0,Bachelor,,M,38984,1,Married,73,27,38,0,2,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,0,2,4
DZ87709,Oregon,5592.161392,No,0,High School or Below,,F,71811,2,Single,71,17,48,0,6,Personal Auto,Personal L1,Offer2,Call Center,29.03416,Four-Door Car,1,2,1
XW13033,Nevada,8009.472833,No,0,College,,M,20961,1,Married,67,20,33,0,2,Personal Auto,Personal L1,Offer2,Agent,321.6,Four-Door Car,1,2,1
LN31673,Washington,11318.08982,No,1,College,,M,38923,2,Married,99,6,83,2,2,Personal Auto,Personal L3,Offer1,Agent,115.728852,Four-Door Car,1,2,6
ZU35962,California,8025.229358,No,1,College,,F,0,2,Single,77,20,26,0,2,Personal Auto,Personal L3,Offer3,Branch,25.807685,Two-Door Car,2,1,2
VH85817,California,5780.182197,Yes,0,High School or Below,,M,51066,1,Single,74,23,0,0,8,Personal Auto,Personal L3,Offer2,Call Center,787.993313,Four-Door Car,1,2,5
DT85712,California,4118.539113,No,0,Doctor,,M,34378,1,Married,102,12,54,0,1,Personal Auto,Personal L1,Offer3,Branch,489.6,SUV,1,1,3
YJ88573,Nevada,2523.07015,No,0,Master,,M,43072,1,Married,63,35,15,0,1,Personal Auto,Personal L3,Offer2,Call Center,302.4,Four-Door Car,2,1,6
SQ19467,Oregon,6554.216396,No,1,College,,F,25222,1,Single,90,28,69,0,3,Personal Auto,Personal L3,Offer2,Agent,475.623251,Four-Door Car,0,1,3
HF88410,Washington,7703.397294,No,0,High School or Below,,M,36765,1,Married,66,15,32,1,2,Personal Auto,Personal L2,Offer1,Call Center,320.849072,Four-Door Car,1,2,0
ET79815,California,5926.729379,Yes,1,College,,M,23091,1,Married,96,28,90,5,5,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,1,1,1
QC35222,California,2683.470677,No,0,Bachelor,,F,48269,0,Married,69,3,79,3,1,Corporate Auto,Corporate L2,Offer3,Web,282.151207,Four-Door Car,1,1,5
CJ15590,Oregon,2695.182419,No,0,Bachelor,,F,32720,1,Divorced,67,13,12,0,1,Personal Auto,Personal L2,Offer3,Branch,321.6,Four-Door Car,1,2,1
OI48267,California,6047.02516,Yes,1,College,,M,20396,1,Married,76,15,60,1,4,Personal Auto,Personal L3,Offer1,Branch,364.8,Four-Door Car,1,2,5
JY67916,Oregon,13171.01282,No,2,College,,M,21513,1,Married,119,21,81,1,2,Personal Auto,Personal L3,Offer2,Branch,679.827592,Two-Door Car,0,1,3
OE75231,Washington,10656.88195,Yes,1,Bachelor,,F,72540,1,Married,88,7,3,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,631.743039,Two-Door Car,1,2,6
CZ33664,Oregon,2527.653796,No,0,Bachelor,,F,80744,2,Married,63,24,84,0,1,Corporate Auto,Corporate L3,Offer1,Agent,11.879037,Four-Door Car,1,1,0
WK30175,Oregon,2672.095756,No,0,Bachelor,,M,52822,1,Married,67,23,88,0,1,Corporate Auto,Corporate L1,Offer1,Branch,350.529033,Two-Door Car,0,2,3
ON44465,California,5313.294035,No,1,High School or Below,,F,0,1,Single,77,8,10,1,9,Personal Auto,Personal L2,Offer1,Agent,863.3947,Four-Door Car,1,1,0
KH48895,Arizona,8375.353929,No,0,Master,,F,17780,2,Married,109,12,18,0,9,Personal Auto,Personal L3,Offer1,Branch,132.588288,SUV,1,2,1
NZ30757,California,4801.661503,No,0,Bachelor,,M,18107,1,Married,62,29,11,0,8,Personal Auto,Personal L2,Offer1,Agent,297.6,Four-Door Car,1,2,2
RI22468,Arizona,5745.94334,No,0,Bachelor,,F,57740,0,Married,74,30,87,3,9,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,1,1,5
FZ30935,Oregon,6066.115969,No,1,College,,M,32627,1,Married,76,11,60,0,7,Personal Auto,Personal L2,Offer1,Agent,380.036697,Two-Door Car,0,2,4
UG93476,California,8002.308333,Yes,0,College,,F,0,1,Married,107,3,65,0,3,Personal Auto,Personal L3,Offer1,Agent,513.6,SUV,1,1,1
AB96670,California,2393.915369,Yes,0,College,,M,0,1,Single,70,24,10,0,1,Personal Auto,Personal L1,Offer1,Branch,425.266308,Four-Door Car,1,1,0
XK64261,Oregon,4762.8179,No,0,Bachelor,,M,65795,2,Single,62,2,85,1,3,Corporate Auto,Corporate L3,Offer3,Call Center,49.011099,Two-Door Car,1,1,2
EV68375,California,4330.38602,Yes,2,College,,M,60475,1,Married,107,9,18,0,1,Personal Auto,Personal L3,Offer2,Branch,513.6,Four-Door Car,1,2,2
TO96662,Oregon,6966.694527,No,1,Bachelor,,F,41837,2,Married,88,29,93,0,9,Personal Auto,Personal L3,Offer1,Call Center,142.062768,Four-Door Car,0,1,2
MR52087,California,7694.064293,No,0,Bachelor,,F,32303,2,Married,65,13,34,0,2,Personal Auto,Personal L1,Offer3,Branch,45.152521,Four-Door Car,1,1,1
DE75225,Oregon,8717.561149,No,0,High School or Below,,M,0,1,Married,117,5,89,1,3,Personal Auto,Personal L1,Offer1,Agent,561.6,SUV,1,1,6
EP80820,California,5928.748528,No,0,Bachelor,,F,40531,2,Married,74,17,32,0,9,Personal Auto,Personal L3,Offer1,Agent,30.567357,Two-Door Car,1,1,3
GU99037,Oregon,2452.977288,No,0,College,,M,79898,0,Married,62,5,86,1,1,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,1,2,0
WI57118,California,6701.571657,No,1,College,,M,56398,1,Married,85,4,18,0,7,Personal Auto,Personal L3,Offer4,Agent,408.0,Four-Door Car,0,2,6
YQ74870,Washington,7556.24034,No,1,High School or Below,,M,35257,1,Divorced,98,16,2,1,8,Corporate Auto,Corporate L2,Offer2,Web,470.4,Four-Door Car,0,2,5
MQ14219,Arizona,8492.6988,No,0,College,,M,27804,1,Married,109,19,54,0,7,Personal Auto,Personal L3,Offer2,Branch,784.8,SUV,1,2,5
KN20603,Oregon,7713.494046,No,0,Bachelor,,M,45506,1,Single,66,16,32,2,2,Personal Auto,Personal L3,Offer1,Agent,316.8,Four-Door Car,1,2,6
JI70886,California,7290.069769,No,0,High School or Below,,M,0,1,Married,102,11,70,1,3,Corporate Auto,Corporate L2,Offer1,Agent,489.6,SUV,1,2,1
VF72557,Oregon,4772.943848,Yes,1,High School or Below,,M,20993,1,Divorced,133,35,90,0,1,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,1,2,4
OX28638,Arizona,6806.491395,No,1,High School or Below,,M,37839,1,Married,86,35,77,0,9,Personal Auto,Personal L3,Offer2,Branch,465.633954,Two-Door Car,1,1,4
SK55033,California,2469.781334,No,0,Bachelor,,F,92711,1,Single,62,24,10,0,1,Personal Auto,Personal L2,Offer3,Agent,368.400146,Two-Door Car,1,1,5
OO88645,California,3103.923041,No,1,College,,F,74665,0,Married,78,10,90,2,1,Corporate Auto,Corporate L2,Offer2,Call Center,236.902001,Four-Door Car,1,2,5
YT36855,Washington,2981.875575,No,1,College,,M,0,1,Married,83,26,89,0,1,Personal Auto,Personal L2,Offer3,Web,582.679087,Two-Door Car,1,2,3
CW82151,California,8902.737595,No,0,Bachelor,,M,46833,2,Married,112,6,3,0,9,Personal Auto,Personal L3,Offer1,Call Center,64.109663,Sports Car,1,1,2
DY22043,Oregon,5499.447223,No,0,High School or Below,,F,88768,1,Married,68,17,77,0,7,Personal Auto,Personal L3,Offer3,Branch,326.4,Two-Door Car,0,1,4
EM43724,Nevada,2509.107875,No,0,Bachelor,,F,33555,2,Married,63,17,11,0,1,Personal Auto,Personal L3,Offer1,Agent,101.89645,Four-Door Car,1,2,2
XA55993,Oregon,3133.503432,No,1,Master,,F,58850,2,Single,78,20,26,0,1,Personal Auto,Personal L3,Offer2,Branch,143.747794,Four-Door Car,1,2,0
GO36627,Arizona,3837.451863,No,1,College,,M,21880,0,Married,97,29,37,0,1,Special Auto,Special L2,Offer1,Branch,424.077159,Four-Door Car,1,1,3
QH48047,Oregon,11790.49617,Yes,0,College,,M,25251,1,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,1,1,0
RB50392,Washington,7838.068321,No,0,Master,,F,0,2,Married,69,9,12,0,2,Personal Auto,Personal L1,Offer2,Agent,2.704934,Four-Door Car,1,2,3
UH65059,Arizona,4305.808345,No,0,High School or Below,,M,24188,1,Married,109,14,82,0,1,Personal Auto,Personal L3,Offer1,Agent,523.2,Sports Car,1,1,4
FV21968,Nevada,5973.976904,No,0,Bachelor,,F,41611,2,Married,74,14,8,0,8,Special Auto,Special L2,Offer1,Branch,113.801497,Four-Door Car,1,1,2
QA87025,Oregon,5670.442396,No,0,Bachelor,,F,28406,0,Married,72,16,35,1,4,Personal Auto,Personal L3,Offer1,Call Center,192.87572,Four-Door Car,1,1,0
TQ13499,Arizona,4731.749346,No,2,College,,M,69833,1,Married,118,32,99,0,1,Personal Auto,Personal L3,Offer1,Agent,828.662719,Four-Door Car,0,1,6
BU44523,Arizona,8026.379641,No,0,High School or Below,,F,0,1,Single,74,15,91,0,2,Corporate Auto,Corporate L2,Offer1,Web,532.8,Four-Door Car,0,2,0
PU25891,Oregon,9618.310865,No,0,High School or Below,,F,80536,2,Married,119,5,83,0,3,Special Auto,Special L2,Offer1,Branch,53.798708,Sports Car,1,1,1
RB81636,Washington,2274.775451,No,0,College,,F,0,1,Single,63,2,5,0,1,Personal Auto,Personal L2,Offer2,Agent,606.642452,Four-Door Car,0,1,5
SX26335,Oregon,9552.926922,No,1,College,,F,97732,0,Married,79,0,70,0,2,Personal Auto,Personal L3,Offer4,Branch,289.9122,Four-Door Car,1,2,1
AZ95587,Arizona,10388.55323,No,1,Bachelor,,F,61222,0,Single,89,20,55,0,2,Special Auto,Special L3,Offer3,Branch,392.604371,Four-Door Car,0,1,1
DS81757,Oregon,2470.121222,No,0,College,,M,0,1,Single,74,7,20,0,1,Personal Auto,Personal L1,Offer4,Web,721.242206,Two-Door Car,2,1,6
OJ94107,Arizona,5619.068508,No,2,Master,,M,50335,0,Married,140,9,54,0,1,Personal Auto,Personal L2,Offer1,Call Center,456.52385,SUV,1,2,4
LM19287,Oregon,3731.504584,Yes,1,High School or Below,,F,0,1,Married,96,31,34,0,1,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,2,2,3
ZU18643,Nevada,3660.770258,No,1,Bachelor,,M,64495,0,Married,92,34,30,0,1,Corporate Auto,Corporate L2,Offer4,Web,251.992083,Four-Door Car,1,1,1
AZ82578,California,7928.829252,No,0,College,,F,0,1,Married,72,7,75,0,2,Corporate Auto,Corporate L3,Offer1,Call Center,345.6,Four-Door Car,1,1,6
XC67861,Arizona,5011.751577,No,0,Bachelor,,F,28859,1,Divorced,67,24,51,3,4,Corporate Auto,Corporate L2,Offer1,Call Center,321.6,Two-Door Car,1,1,6
YC43143,Arizona,7988.258292,No,1,High School or Below,,F,77330,2,Married,99,0,21,0,3,Personal Auto,Personal L3,Offer2,Web,99.257608,Four-Door Car,1,2,1
EK59571,Oregon,3885.456401,Yes,2,College,,M,0,1,Married,105,3,92,0,1,Corporate Auto,Corporate L2,Offer1,Branch,504.0,Four-Door Car,2,2,0
GD83998,Washington,2659.337982,No,0,Bachelor,,M,24495,1,Single,70,29,65,0,1,Personal Auto,Personal L2,Offer4,Branch,336.0,Four-Door Car,0,1,0
WA25797,Washington,8564.768226,Yes,0,High School or Below,,M,95697,2,Married,107,29,29,0,9,Personal Auto,Personal L3,Offer2,Agent,178.006524,Sports Car,1,2,3
PD27940,Arizona,4885.162511,No,1,High School or Below,,M,26372,1,Married,126,11,7,0,1,Personal Auto,Personal L3,Offer4,Agent,604.8,SUV,1,2,5
BS77946,Arizona,9753.307106,No,1,Bachelor,,F,17514,2,Married,127,2,5,0,3,Personal Auto,Personal L1,Offer1,Branch,8.312729,SUV,1,2,3
YM50253,California,2946.153697,No,0,Bachelor,,F,89270,0,Single,74,17,90,0,1,Personal Auto,Personal L3,Offer2,Branch,316.599228,Four-Door Car,1,2,1
NR15332,California,2581.110945,No,0,High School or Below,,M,29757,1,Married,65,13,55,0,1,Personal Auto,Personal L2,Offer2,Web,312.0,Four-Door Car,0,2,6
RC62865,Oregon,3517.385764,No,1,College,,M,51814,2,Single,92,28,89,0,1,Personal Auto,Personal L2,Offer3,Agent,56.300724,Four-Door Car,1,1,6
CC15295,Oregon,9743.350113,No,1,Bachelor,,F,24028,1,Married,82,14,27,0,2,Personal Auto,Personal L2,Offer2,Agent,393.6,Four-Door Car,0,1,4
KA61892,Arizona,3873.647046,Yes,0,College,,M,28142,1,Married,105,18,50,0,1,Personal Auto,Personal L3,Offer2,Agent,701.708239,Sports Car,1,1,3
OS94884,Arizona,7649.28199,No,0,Bachelor,,F,52705,2,Married,64,14,8,1,2,Personal Auto,Personal L2,Offer1,Web,128.705563,Two-Door Car,2,1,3
ND87334,California,2287.59692,No,0,High School or Below,,M,0,1,Married,63,1,5,0,1,Corporate Auto,Corporate L3,Offer2,Agent,679.368378,Two-Door Car,1,2,1
ML93326,Washington,4475.424592,No,0,College,,F,84903,0,Married,111,7,63,0,1,Personal Auto,Personal L1,Offer1,Agent,497.126827,SUV,1,2,6
YL74911,California,8714.922135,Yes,0,College,,F,0,1,Divorced,118,14,64,0,4,Personal Auto,Personal L3,Offer1,Agent,566.4,SUV,1,2,0
JP69864,Washington,2248.449633,Yes,0,Bachelor,,F,24910,1,Single,63,7,63,1,1,Personal Auto,Personal L1,Offer1,Branch,347.857619,Four-Door Car,1,1,5
HL53154,California,7416.197322,No,1,Bachelor,,M,0,1,Single,77,15,12,2,2,Personal Auto,Personal L3,Offer1,Agent,554.4,Four-Door Car,1,2,1
RI78966,Oregon,7771.158973,No,0,Master,,M,21876,1,Married,68,12,28,0,2,Personal Auto,Personal L3,Offer1,Agent,465.41477,Four-Door Car,0,2,0
IC13702,California,6968.3419,No,0,Bachelor,,F,0,1,Single,69,33,61,1,2,Personal Auto,Personal L3,Offer1,Agent,496.8,Four-Door Car,0,1,0
BE10809,California,4250.282624,Yes,0,High School or Below,,F,0,1,Single,61,17,1,1,7,Personal Auto,Personal L1,Offer1,Agent,292.8,Four-Door Car,0,1,1
TS19868,California,2413.139714,No,0,College,,M,27501,1,Married,63,20,0,0,1,Personal Auto,Personal L1,Offer4,Branch,542.319401,Four-Door Car,1,1,3
LP45550,Oregon,15363.84716,No,2,Doctor,,F,15897,0,Divorced,101,30,99,0,2,Personal Auto,Personal L3,Offer2,Agent,303.148399,Four-Door Car,1,1,5
QR87004,Nevada,8456.961887,No,0,College,,F,25141,2,Divorced,73,12,4,1,2,Personal Auto,Personal L3,Offer3,Agent,25.438063,Four-Door Car,1,1,6
OE75747,Nevada,2189.642522,No,0,College,,F,0,1,Married,61,5,46,3,1,Personal Auto,Personal L2,Offer3,Agent,292.8,Four-Door Car,0,1,4
DX91392,California,5780.182197,Yes,0,High School or Below,,M,51066,1,Single,74,23,0,0,8,Personal Auto,Personal L2,Offer2,Call Center,787.993313,Four-Door Car,1,2,5
AB72731,California,4639.981638,No,0,Bachelor,,F,28358,2,Married,117,24,37,0,1,Personal Auto,Personal L2,Offer2,Call Center,84.024413,Sports Car,1,1,1
RU49126,Washington,4465.335703,No,0,College,,F,61846,2,Married,112,1,48,0,1,Personal Auto,Personal L2,Offer2,Agent,215.8182,SUV,1,2,1
IS12901,Arizona,5968.118877,No,0,Bachelor,,F,90972,0,Married,74,3,47,0,8,Personal Auto,Personal L3,Offer2,Call Center,232.926145,Two-Door Car,1,1,3
IX37561,Washington,5097.763337,No,0,College,,F,0,1,Single,74,3,95,0,7,Personal Auto,Personal L3,Offer3,Web,532.8,Two-Door Car,1,2,0
HH90090,California,4076.634665,No,0,Bachelor,,F,29549,1,Divorced,104,17,51,0,1,Personal Auto,Personal L2,Offer2,Call Center,710.433775,Sports Car,0,1,6
IU25463,California,12252.60179,No,2,Bachelor,,F,0,1,Married,115,12,17,1,2,Personal Auto,Personal L2,Offer1,Agent,552.0,Four-Door Car,1,2,4
